Date,HomeTeam,AwayTeam,Result,FTHG,FTAG,League
2000-07-28,Marseille,Troyes,0,3.0,1.0,France_Ligue1
2000-07-28,Paris SG,Strasbourg,0,3.0,1.0,France_Ligue1
2000-07-29,Auxerre,Sedan,2,0.0,1.0,France_Ligue1
2000-07-29,Bordeaux,Metz,1,1.0,1.0,France_Ligue1
2000-07-29,Guingamp,St Etienne,1,2.0,2.0,France_Ligue1
2000-07-29,Lille,Monaco,1,1.0,1.0,France_Ligue1
2000-07-29,Lyon,Rennes,1,2.0,2.0,France_Ligue1
2000-07-29,Nantes,Lens,2,0.0,2.0,France_Ligue1
2000-07-29,Toulouse,Bastia,2,0.0,1.0,France_Ligue1
2000-08-03,Sedan,Lyon,1,1.0,1.0,France_Ligue1
2000-08-04,Monaco,Nantes,2,2.0,5.0,France_Ligue1
2000-08-04,St Etienne,Marseille,0,3.0,0.0,France_Ligue1
2000-08-05,Troyes,Toulouse,1,1.0,1.0,France_Ligue1
2000-08-05,Rennes,Paris SG,1,1.0,1.0,France_Ligue1
2000-08-05,Strasbourg,Lille,2,0.0,4.0,France_Ligue1
2000-08-05,Lens,Guingamp,0,3.0,2.0,France_Ligue1
2000-08-05,Bastia,Bordeaux,0,2.0,0.0,France_Ligue1
2000-08-05,Metz,Auxerre,2,1.0,2.0,France_Ligue1
2000-08-11,Dortmund,Hansa Rostock,0,1.0,0.0,Germany_Bundesliga
2000-08-12,Auxerre,Bastia,0,1.0,0.0,France_Ligue1
2000-08-12,Bordeaux,Troyes,1,2.0,2.0,France_Ligue1
2000-08-12,Guingamp,Nantes,2,0.0,1.0,France_Ligue1
2000-08-12,Lille,Rennes,0,1.0,0.0,France_Ligue1
2000-08-12,Lyon,Metz,1,0.0,0.0,France_Ligue1
2000-08-12,Strasbourg,Monaco,2,1.0,3.0,France_Ligue1
2000-08-12,Toulouse,St Etienne,1,1.0,1.0,France_Ligue1
2000-08-12,Bayern Munich,Hertha,0,4.0,1.0,Germany_Bundesliga
2000-08-12,Freiburg,Stuttgart,0,4.0,0.0,Germany_Bundesliga
2000-08-12,Hamburg,Munich 1860,1,2.0,2.0,Germany_Bundesliga
2000-08-12,Kaiserslautern,Bochum,2,0.0,1.0,Germany_Bundesliga
2000-08-12,Werder Bremen,Cottbus,0,3.0,1.0,Germany_Bundesliga
2000-08-12,Leverkusen,Wolfsburg,0,2.0,0.0,Germany_Bundesliga
2000-08-13,Ein Frankfurt,Unterhaching,0,3.0,0.0,Germany_Bundesliga
2000-08-13,Paris SG,Sedan,0,2.0,1.0,France_Ligue1
2000-08-13,Schalke 04,FC Koln,0,2.0,1.0,Germany_Bundesliga
2000-08-13,Marseille,Lens,1,0.0,0.0,France_Ligue1
2000-08-18,Cottbus,Dortmund,2,1.0,4.0,Germany_Bundesliga
2000-08-18,Bastia,Lyon,0,2.0,0.0,France_Ligue1
2000-08-19,Hertha,Hamburg,0,4.0,0.0,Germany_Bundesliga
2000-08-19,Bochum,Bayern Munich,2,0.0,3.0,Germany_Bundesliga
2000-08-19,Munich 1860,Werder Bremen,0,2.0,1.0,Germany_Bundesliga
2000-08-19,Unterhaching,Freiburg,1,1.0,1.0,Germany_Bundesliga
2000-08-19,Wolfsburg,Kaiserslautern,0,4.0,0.0,Germany_Bundesliga
2000-08-19,St Etienne,Bordeaux,0,1.0,0.0,France_Ligue1
2000-08-19,Sedan,Lille,0,1.0,0.0,France_Ligue1
2000-08-19,Rennes,Strasbourg,0,3.0,0.0,France_Ligue1
